Downloaded for distribution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%							MPN	0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+					
yes	yes	yes	no	no	86	Makena/Wailea	NMS	DB	BS	MS	MMB	MMB220914		S Maluaka Beach	2022-09-14	9:03	2	2	4	2	2					MMB220914	27.3	35.8	6.23	96.0	8.16	1.26	1.27	1.27	1.27	0.005				N	9	3	0					
yes	yes	yes	no	no	86	Makena/Wailea	NMS	DB	BS	MS	MAN	MAN220914		Ahihi North	2022-09-14	9:21	2	2	4	2	2					MAN220914	27.1	35.8	7.04	108.3	8.16	1.13	1.28	1.87	1.43	0.274				N	6	2	0	high tide, calm water				
yes	yes	yes	no	no	86	Makena/Wailea	NMS	DB	BS	MS	MAS	MAS220914		Ahihi South	2022-09-14	9:40	2	2	4	1	2					MAS220914	27.0	35.8	6.24	95.7	8.15	0.82	1.00	0.88	0.90	0.102				N	3	3	0	high tide, calm with shore break				
yes	yes	yes	no	no	87	Makena/Wailea	NMS	DB	BS	MM	KCP	KCP221005		Cove Park	2022-10-05	8:05	1	1	1	1	3					KCP221005	26.0	32.1	6.24	92.1	8.05	9.56	9.89	9.84	9.76	0.018				N	6	5	3	low tide incoming				
yes	yes	yes	no	no	87	Makena/Wailea	NMS	DB	BS	MM	MMB	MMB221005		S Maluaka Beach	2022-10-05	8:45	1	1	1	1	3					MMB221005	26.8	35.2	6.31	96.3	8.11	1.65	1.31	1.51	1.49	0.115				N	0	19	0	syringe filter system issue/placed in cooler & sample taken in lab				
yes	yes	yes	no	no	87	Makena/Wailea	NMS	DB	BS	MM	MAN	MAN221005		Ahihi North	2022-10-05	9:05	1	1	1	1	3					MAN221005	26.8	35.3	7.02	107.0	8.10	1.61	1.40	1.74	1.58	0.108				N	3	8	0	high tide at shoreline, gentle shore break				
yes	yes	yes	no	no	87	Makena/Wailea	NMS	DB	BS	MM	MAS	MAS221005		Ahihi South	2022-10-05	9:25	1	1	1	1	3					MAS221005	26.7	35.4	6.30	96.1	8.07	1.54	1.49	1.64	1.56	0.049				N	13	20	0	snorkle tourists enter on coral reef/unsafe entrance				
yes	yes	yes	no	no	88	Makena/Wailea	NMS	DB	BS		KCP	KCP221026		Cove Park	2022-10-26	8:05	2	2	4	2	2					KCP221026	27.4	34.8	5.62	86.2	8.05	2.17	1.83	2.91	2.30	0.240				N	2	5	2	High tide super calm waters				
yes	yes	yes	no	no	88	Makena/Wailea	NMS	DB	BS		MMB	MMB221026		S Maluaka Beach	2022-10-26	8:35	2	2	4	2	2					MMB221026	27.5	35.6	6.24	96.3	8.11	0.76	0.68	0.75	0.73	0.060				N	12	22	0					
yes	yes	yes	no	no	88	Makena/Wailea	NMS	DB	BS		MAN	MAN221026		Ahihi North	2022-10-26	9:00	2	2	4	2	2					MAN221026	27.0	35.2	6.28	96.0	7.98	0.91	0.97	1.08	0.99	0.087				N	0	0	0					
yes	yes	yes	no	no	88	Makena/Wailea	NMS	DB	BS		MAS	MAS221026		Ahihi South	2022-10-26	9:30	2	3	4	1	2					MAS221026	27.1	35.3	5.77	88.3	8.03	0.65	0.58	0.57	0.60	0.073				N	0	0	0					
yes	yes	yes	no	no	89	Makena/Wailea	NMS	DB	BS	MM	KCP	KCP221116		Cove Park	2022-11-16	8:01	1	3	5	1	1					KCP221116	25.7	34.3	5.93	88.1	8.12	5.19	5.59	5.74	5.51	0.052				N	1	8	4					
yes	yes	yes	no	no	89	Makena/Wailea	NMS	DB	BS	MM	MMB	MMB221116		S Maluaka Beach	2022-11-16	8:33	1	3	5	1	1					MMB221116	25.8	35.4	6.48	97.1	8.17	0.79	0.75	0.75	0.76	0.030				N	2	11	0					
yes	yes	yes	no	no	89	Makena/Wailea	NMS	DB	BS	MM	MAN	MAN221116		Ahihi North	2022-11-16	8:56	1	3	5	1	1					MAN221116	25.8	35.2	6.62	99.0	8.08	0.56	0.90	0.74	0.73	0.232				N	3	5	0					
yes	yes	yes	no	no	89	Makena/Wailea	NMS	DB	BS	MM	MAS	MAS221116		Ahihi South	2022-11-16	9:12	1	3	5	1	1					MAS221116	25.9	35.4	6.12	91.8	8.12	0.59	0.60	0.67	0.62	0.070				N	6	28	0					
yes	yes	yes	no	no	90	Makena/Wailea	NMS	DB	BS	JD	KCP	KCP221207		Cove Park	2022-12-07	8:10	2	2	4	2	2					KCP221207	25.6	34.0	6.15	91.0	8.08	3.86	3.25	3.36	3.49	0.093				N	0	0	2	calm water, high at shoreline, 4 turb readings	cloudy sky, 4 turb readings			
yes	yes	yes	no	no	90	Makena/Wailea	NMS	DB	BS	JD	MMB	MMB221207		S Maluaka Beach	2022-12-07	8:53	2	2	4	2	2					MMB221207	25.7	35.7	6.40	96.0	8.13	0.67	0.58	0.57	0.61	0.091				N	2	9	0	calm water, receding tide, cloudy sky, 4 turb readings				
yes	yes	yes	no	no	90	Makena/Wailea	NMS	DB	BS	JD	MAN	MAN221207		Ahihi North	2022-12-07	9:17	2	2	4	2	2					MAN221207	25.6	35.3	7.01	104.5	8.06	1.45	1.84	1.69	1.66	0.119				N	0	0	0	calm water, cloudy sky, receding tide, no people				
yes	yes	yes	no	no	90	Makena/Wailea	NMS	DB	BS	JD	MAS	MAS221207		Ahihi South	2022-12-07	9:35	2	2	4	2	2					MAS221207	25.6	35.4	6.57	98.0	8.09	1.35	1.26	1.27	1.29	0.038				N	2	5	0	calm water, cloudy sky, receding tide				
yes	yes	yes	no	no	91	Makena/Wailea	NMS	DB	BS	JD	KCP	KCP230104		Cove Park	2023-01-04	7:55	1	5	5	1	1					KCP230104	24.1	32.5	6.62	94.4	8.08	3.31	3.20	3.11	3.21	0.031				Y	0	0	2	water sitting in creek - absorbed into soil - no flow to ocean				
yes	yes	yes	no	no	91	Makena/Wailea	NMS	DB	BS	JD	MMB	MMB230104		S Maluaka Beach	2023-01-04	8:40	1	5	5	1	1					MMB230104	24.9	35.2	6.82	100.6	8.15	2.31	2.37	2.26	2.31	0.024				N	0	0	0	low tide - shore break - moderate surf				
yes	yes	yes	no	no	91	Makena/Wailea	NMS	DB	BS	JD	MAN	MAN230104		Ahihi North	2023-01-04	9:04	1	5	5	1	1					MAN230104	25.0	34.9	7.14	105.0	8.09	1.02	1.39	1.27	1.23	0.154				N	1	6	0	low tide - 5th read of turb needed - not taken				
yes	yes	yes	no	no	91	Makena/Wailea	NMS	DB	BS	JD	MAS	MAS230104		Ahihi South	2023-01-04	9:20	1	5	5	1	1					MAS230104	24.8	34.1	6.64	97.0	8.04	1.97	1.90	2.03	1.97	0.033				N	0	10	0	low tide - moderate surf - wind N				
yes	yes	yes	no	no	92	Makena/Wailea	NMS	MM	BS	JD	KCP	KCP230125		Cove Park	2023-01-25	8:00	2	2	4	2	2					KCP230125	24.9	34.7	6.61	97.2	8.13	4.68	5.67	5.15	5.17	0.096				Y	0	0	2	Rain previous evening, stream running N. of collection site, large swell				
yes	yes	yes	no	no	92	Makena/Wailea	NMS	MM	BS	JD	MMB	MMB230125		S Maluaka Beach	2023-01-25	8:50	2	2	4	2	2					MMB230125	25.0	35.5	6.81	100.8	8.19	8.68	9.10	9.43	9.07	0.041				N	0	0	0	High tide, large swell, narrow strip of beach, shore break				
yes	yes	yes	no	no	92	Makena/Wailea	NMS	MM	BS	JD	MAN	MAN230125		Ahihi North	2023-01-25	9:16	2	2	4	2	2					MAN230125	25.2	35.3	6.96	103.2	8.11	1.16	1.21	1.21	1.19	0.024				N	3	2	0	High tide, large swell, calm in bay, high oxygen score				
yes	yes	yes	no	no	92	Makena/Wailea	NMS	MM	BS	JD	MAS	MAS230125		Ahihi South	2023-01-25	9:45	2	2	4	2	2					MAS230125	25.4	35.2	6.56	97.7	8.11	1.90	2.02	1.87	1.93	0.041				N	4	5	0	High tide, large swell				
yes	yes	yes	no	no	93	Makena/Wailea	NMS	DB	BS	DC	KCP	KCP230215		Cove Park	2023-02-15	8:12	HQ2200 - 3	5	5	3	1					KCP230215	23.4	32.5			8.05	2.92	2.82	2.41	2.72	0.099				Y	0	4	0	previous rainfall water in tunnel - did not r		reach shoreline		
yes	yes	yes	no	no	93	Makena/Wailea	NMS	DB	BS	DC	MMB	MMB230215		S Maluaka Beach	2023-02-15	8:49	HQ2200 - 3	5	5	3	1					MMB230215	23.6	35.0			8.16	1.36	1.52	1.36	1.41	0.065				N	2	0	0	low tide, clear sky, calm sea & wind				
yes	yes	yes	no	no	93	Makena/Wailea	NMS	DB	BS	DC	MAN	MAN230215		Ahihi North	2023-02-15	9:09	HQ2200 - 3	5	5	3	1					MAN230215	23.8	34.2			8.08	1.38	1.34	1.09	1.27	0.124				N	2	1	0	calm water and small waves 	- potential for 4th turb reading			
yes	yes	yes	no	no	93	Makena/Wailea	NMS	DB	BS	DC	MAS	MAS230215		Ahihi South	2023-02-15	9:30	HQ2200 - 3	5	5	3	1					MAS230215	24.1	35.1			8.14	1.80	2.12	1.85	1.92	0.090				N	2	6	0	calm water and small waves 				
yes	yes	yes	no	no	94	Makena/Wailea	NMS	DB	BS	MS	KCP	KCP230308		Cove Park	2023-03-08	8:23	HQ2200 - 4	2	3	2	2					KCP230308	24.2	34.3			8.14	9.53	9.62	9.94	9.70	0.022				Y	0	0	1	Rough sea, white caps, brown water, shorebreak at collection site, early am rain, wind SW @ 23mph				
yes	yes	yes	no	no	94	Makena/Wailea	NMS	DB	BS	MS	MMB	MMB230308		S Maluaka Beach	2023-03-08	8:50	HQ2200 - 4	2	3	2	2					MMB230308	24.4	35.2			8.18	6.11	6.81	6.53	6.48	0.054				N	0	2	0	Rough shorebreak high on beach sand, sand in collection syringe, runoff debris in walkway from restroom area, early am rain				
yes	yes	yes	no	no	94	Makena/Wailea	NMS	DB	BS	MS	MAN	MAN230308		Ahihi North	2023-03-08	9:12	HQ2200 - 4	2	3	2	2					MAN230308	24.5	35.2			8.15	8.12	9.13	8.81	8.69	0.059				N	0	0	0	Waves high on shoreline at collection site, white caps, no brown water here, 5 turb readings				
yes	yes	yes	no	no	94	Makena/Wailea	NMS	DB	BS	MS	MAS	MAS230308		Ahihi South	2023-03-08	9:30	HQ2200 - 4	2	3	2	2					MAS230308	24.6	35.1			8.11	11.01	11.20	11.40	11.20	0.017				N	0	3	0	Shorebreak high at collection site, white caps, shallow collection due to wave actions, no brown water here				
yes	yes	yes	no	no	95	Makena/Wailea	NMS	DB	BS	JD	KCP	KCP230329		Cove Park	2023-03-29	7:50	HQ2200 - 3	4	5	1	3					KCP230329	25.6	32.4	6.63	97.1	8.05	5.29	4.91	4.98	5.06	0.040				Y	0	0	2	light morning rain, cloud cover				
yes	yes	yes	no	no	95	Makena/Wailea	NMS	DB	BS	JD	MMB	MMB230329		S Maluaka Beach	2023-03-29	8:25	HQ2200 - 3	4	5	1	3					MMB230329	25.4	34.5	6.60	97.5	8.11	1.89	2.40	2.20	2.16	0.119				N	1	2	0	high tide, 2 dogs on beach				
yes	yes	yes	no	no	95	Makena/Wailea	NMS	DB	BS	JD	MAN	MAN230329		Ahihi North	2023-03-29	8:42	HQ2200 - 3	4	5	1	3					MAN230329	24.7	35.1	6.93	101.4	8.10	1.25	1.38	1.39	1.34	0.058				N	3	7	0	high tide, low wave action				
yes	yes	yes	no	no	95	Makena/Wailea	NMS	DB	BS	JD	MAS	MAS230329		Ahihi South	2023-03-29	9:05	HQ2200 - 3	4	5	1	3					MAS230329	24.8	34.8	6.64	97.1	8.10	1.09	1.28	1.12	1.16	0.088				N	3	6	0	receding tide				
yes	yes	yes	no	no	96	Makena/Wailea	NMS	DB	JD	LY	KCP	KCP230421		Cove Park	2023-04-21	7:56	4	2	4	2	Refractometer		Salinity readings from Refractometer			KCP230421	25.6	30.0	6.51	96.6	8.08	5.31	5.04	5.20	5.18	0.026				N	2	0	2	shorebreak, sediment in water, murky, recent fresh water (not today) 5th Turb 5.20				
yes	yes	yes	no	no	96	Makena/Wailea	NMS	DB	JD	LY	MMB	MMB230421		S Maluaka Beach	2023-04-21	8:55	4	2	4	2	Refractometer		DO Probe set at 35ppt and used for C temperature			MMB230421	26.4	32.0	6.48	97.4	8.12	1.93	2.29	1.80	2.01	0.126	heavy rain event on scheduled day 			N	0	26	0	receeding tide w/shorebreak stirring up sand, wedding on beach				
yes	yes	yes	no	no	96	Makena/Wailea	NMS	DB	JD	MS	MAN	MAN230421		Ahihi North	2023-04-21	9:22	4	2	4	2	Refractometer		% oxygen and mg/L readings			MAN230421	25.7	33.0	7.11	105.6	8.17	1.82	1.36	1.35	1.51	0.178	prevented field collection			N	0	0	0	receeding tide, roadside debris from previous rain event, 4th Turb 1.36 & 5th Turb 1.82				
yes	yes	yes	no	no	96	Makena/Wailea	NMS	DB	JD	MS	MAS	MAS230421		Ahihi South	2023-04-21	9:45	4	2	4	2	Refractometer					MAS230421	25.7	33.5	6.54	97.2	8.09	2.01	1.45	1.64	1.70	0.168	collection moved to Fri 4/21			N	4	5	0	very low receeding tide 50% cloud cover, snorkelers @ collection site 4th Turb 2.00				
yes	yes	yes	no	no	97	Makena/Wailea	NMS	BS	DB	JD	KCP	KCP230510		Cove Park	2023-05-10	8:00	3	5	5	1	Refractometer					KCP230510	25.2	35.0	6.40	94.2	8.12	3.65	4.93	4.25	4.28	0.150				N	0	2	2	Two dogs in water; calm ocean; refractometer calibration tested				
yes	yes	yes	no	no	97	Makena/Wailea	NMS	BS	DB	JD	MMB	MMB230510		S Maluaka Beach	2023-05-10	8:48	3	5	5	1	Refractometer					MMB230510	25.9	35.0	6.42	95.8	8.14	0.69	0.59	0.49	0.59	0.169				N	6	5	0	Ocean very calm				
yes	yes	yes	no	no	97	Makena/Wailea	NMS	BS	DB	JD	MAN	MAN230510		Ahihi North	2023-05-10	9:07	3	5	5	1	Refractometer					MAN230510	25.5	33.0	7.29	107.7	8.16	0.97	1.17	1.30	1.15	0.145				N	0	0	0	Less calm ocean = 2 ft waves				
yes	yes	yes	no	no	97	Makena/Wailea	NMS	BS	DB	JD	MAS	MAS230510		Ahihi South	2023-05-10	9:26	3	5	5	1	Refractometer					MAS230510	25.2	34.0	6.27	92.4	8.06	0.76	0.71	0.61	0.69	0.110				N	1	7	0	Calm ocean				
yes	yes	yes	no	no	98	Makena/Wailea	YK	BS	JD	DC	KCP	KCP230607		Cove Park	2023-06-07	8:08	4	2	6	2	4					KCP230607	25.8	33.1	6.41	95.3	8.10	8.74	9.59	9.06	9.13	0.047				N	2	0	2	receding tide, clear sky, brown water, sewer repair of leak under roadway in last 2 weeks				
yes	yes	yes	no	no	98	Makena/Wailea	YK	BS	JD	DC	MMB	MMB230607		S Maluaka Beach	2023-06-07	8:40	4	2	6	2	4					MMB230607	25.9	34.9	6.40	95.6	8.14	0.67	0.75	0.90	0.77	0.151				N	3	4	0	receding tide, no shore break, clear sky, calm surf				
yes	yes	yes	no	no	98	Makena/Wailea	YK	BS	JD	DC	MAN	MAN230607		Ahihi North	2023-06-07	9:04	4	2	6	2	4					MAN230607	25.8	35.5	7.28	108.3	8.13	1.02	1.25	1.41	1.23	0.160				N	0	0	0	receding tide, no shore break, clear sky, calm surf, 4th turb reading 1.25				
yes	yes	yes	no	no	98	Makena/Wailea	YK	BS	JD	DC	MAS	MAS230607		Ahihi South	2023-06-07	9:35	4	2	5	2	4					MAS230607	25.9	35.1	6.30	93.9	8.06	0.80	0.98	1.01	0.93	0.122				N	6	14	0	receding tide with extreme low level at collection site, no shore break, calm surf				
yes	yes	yes	no	no	99	Makena/Wailea	NMS	JD	DC	DB	KCP	KCP230628		Cove Park	2023-06-28	8:01	3	3	5	1	5					KCP230628	26.4	32.3	6.39	95.8	8.01	5.76	6.14	6.37	6.09	0.051				N	1	0	2	calm water, partly cloudy, receding tide, no wind, one dog in water at collection site				
yes	yes	yes	no	no	99	Makena/Wailea	NMS	JD	DC	DB	MMB	MMB230628		S Maluaka Beach	2023-06-28	8:43	3	3	5	1	5					MMB230628	26.4	35.3	6.36	95.8	8.13	1.38	1.56	1.40	1.45	0.068				N	0	3	0	receding tide, low wind, calm surf, partly cloudy				
yes	yes	yes	no	no	99	Makena/Wailea	NMS	JD	DC	DB	MAN	MAN230628		Ahihi North	2023-06-28	9:04	3	3	5	1	5					MAN230628	26.1	35.8	6.89	103.0	8.10	1.64	1.47	1.45	1.52	0.069				N	3	7	0	receding tide, calm surf, partly cloudy				
yes	yes	yes	no	no	99	Makena/Wailea	NMS	JD	DC	DB	MAS	MAS230628		Ahihi South	2023-06-28	9:18	3	3	5	1	5					MAS230628	25.7	35.8	6.30	93.6	8.07	1.25	1.10	1.19	1.18	0.064				N	0	2	0	receding tide yet high at collection site, moderate calm surf, partly cloudy				
yes	yes	yes	no	no	100	Makena/Wailea	NMS	DC	DB	MS	KCP	KCP230719		Cove Park	2023-07-19	8:05	4	2	6	4	6					KCP230719	27.1	31.5	5.87	88.0	8.05	40.10	35.40	32.60	36.03	0.105				N	0	0	1	receding tide, overcast, light wind, calm, no wave action				Turb #4 = 40.1...#5 = 47.6
yes	yes	yes	no	no	100	Makena/Wailea	NMS	DC	DB	MS	MMB	MMB230719		S Maluaka Beach	2023-07-19	8:40	4	2	6	4	6					MMB230719	27.1	34.6	6.90	104.4	8.14	1.72	1.85	1.35	1.64	0.158				N	0	3	0	receding tide, overcast, light wind, sandy shore break w/wind waves, Turb #4 =1.35				
yes	yes	yes	no	no	100	Makena/Wailea	NMS	DC	DB	MS	MAN	MAN230719		Ahihi North	2023-07-19	8:59	4	2	6	4	6					MAN230719	27.1	34.8	6.90	104.5	8.08	1.97	1.89	1.42	1.76	0.169				N	0	0	0	receding tide, overcast, light wind, calm, no shorebreak				
yes	yes	yes	no	no	100	Makena/Wailea	NMS	DC	DB	MS	MAS	MAS230719		Ahihi South	2023-07-19	9:22	4	2	6	4	6					MAS230719	27.2	34.7	6.85	104.1	8.08	6.52	6.34	6.57	6.48	0.019				N	0	0	0	receding tide, overcast, windy, small waves, Turb #4 = 6.57				
yes	yes	yes	no	no	101	Makena/Wailea	NMS	DC	DB	BS_MS	KCP	KCP230809		Cove Park	2023-08-09	8:00	3	5	5	3	7					KCP230809	26.2	32.6	6.56	96.7	8.11	15.80	14.90	14.00	14.90	0.060				N	0	0	1	brown water at shoreline with high tide, calm waves, light breeze				4th turb 14.0
yes	yes	yes	no	no	101	Makena/Wailea	NMS	DC	DB	BS_MS	MMB	MMB230809		S Maluaka Beach	2023-08-09	8:40	3	5	5	3	7					MMB230809	26.9	35.5	6.68	101.3	8.17	4.78	4.74	4.93	4.82	0.021				N	3	6	0	sunny, light breeze, small sandy shorebreak, sand in collection				
yes	yes	yes	no	no	101	Makena/Wailea	NMS	DC	DB	BS_MS	MAN	MAN230809		Ahihi North	2023-08-09	8:55	3	5	5	3	7					MAN230809	26.3	37.5	6.99	105.3	8.14	1.68	1.60	1.86	1.71	0.078				N	5	4	0	sunny, light breeze, small waves with high shoreline, clear water				4th turb 1.68
yes	yes	yes	no	no	101	Makena/Wailea	NMS	DC	DB	BS_MS	MAS	MAS230809		Ahihi South	2023-08-09	9:10	3	5	5	3	7					MAS230809	26.7	35.9	6.77	102.6	8.18	1.33	1.37	1.26	1.32	0.042				N	12	10	0	sunny, more breezy, hightide shoreline, small waves, 4th turb 1.33				
yes	yes	yes	no	no	102	Makena/Wailea	NMS	DC	DB	BS	KCP	KCP230830		Cove Park	2023-08-30	8:00	4	2	6	4	8					KCP230830	26.6	33.5	6.73	100.2	8.04	11.40	10.40	10.00	10.60	0.068				N	1	0	1	sunny, calm, light breeze, brown water, 4th Turb 10.0				
yes	yes	yes	no	no	102	Makena/Wailea	NMS	DC	DB	BS	MMB	MMB230830		S Maluaka Beach	2023-08-30	8:30	4	2	6	4	8					MMB230830	27.1	35.0	6.72	101.5	8.09	0.68	0.78	0.81	0.76	0.090				N	0	1	0	sunny, very calm				
yes	yes	yes	no	no	102	Makena/Wailea	NMS	DC	DB	BS	MAN	MAN230830		Ahihi North	2023-08-30	8:52	4	2	6	4	8					MAN230830	26.8	35.0	7.39	111.0	8.09	2.67	2.84	2.74	2.75	0.031				N	0	0	0	sunny, small wave action, 4th Turb 2.84				
yes	yes	yes	no	no	102	Makena/Wailea	NMS	DC	DB	BS	MAS	MAS230830		Ahihi South	2023-08-30	9:08	4	2	6	4	8					MAS230830	26.8	34.9	6.88	103.6	8.07	0.93	0.90	0.83	0.89	0.058				N	0	8	0	sunny, calm, people on beach				
yes	yes	yes	no	no	103	Makena/Wailea	NMS	MS_LY	DC	DB_BS	KCP	KCP230927		Cove Park	2023-09-27	8:05	3	5	5	3	7					KCP230927	26.5	33.3	6.05	89.6	8.07	4.73	5.98	4.43	5.05	0.163				N	0	0	2	sunny, calm, no wind, water looks cleaner than usual			4th turb 5.98	
yes	yes	yes	no	no	103	Makena/Wailea	NMS	MS_LY	DC	DB_BS	MMB	MMB230927		S Maluaka Beach	2023-09-27	8:45	3	5	5	3	7					MMB230927	26.5	35.2	6.55	98.5	8.15	0.54	0.73	0.54	0.54	0.203				N	2	9	0	sunny, calm, water sparkling clear, small shorebreak			4th Turb 0.54	
yes	yes	yes	no	no	103	Makena/Wailea	NMS	MS_LY	DC	DB_BS	MAN	MAN230927		Ahihi North	2023-09-27	9:11	3	5	5	3	7					MAN230927	26.4	35.2	7.98	119.6	8.14	1.10	1.30	1.17	1.19	0.085				N	0	4	0	sunny, calm, water sparkling clear, small shorebreak				
yes	yes	yes	no	no	103	Makena/Wailea	NMS	MS_LY	DC	DB_BS	MAS	MAS230927		Ahihi South	2023-09-27	9:32	3	5	5	3	7					MAS230927	26.5	35.9	6.43	97.1	8.14	0.54	0.51	0.46	0.50	0.080				N	5	16	0	sunny, calm, water clear, many snorkelers at site, no breeze				
yes	yes	yes	no	no	104	Makena/Wailea	NMS	DC	DB	BS	KCP	KCP231018		Cove Park	2023-10-18	7:50	4	2	6	4	8					KCP231018	26.6	35.0	6.67	100.0	8.05	7.30	8.73	7.41	7.81	0.102				N	2	0	1	medium high tide, rough water with energy, no wind				
yes	yes	yes	no	no	104	Makena/Wailea	NMS	DC	DB	BS	MMB	MMB231018		S Maluaka Beach	2023-10-18	8:15	4	2	6	4	8					MMB231018	26.4	35.7	6.80	102.4	8.11	3.75	4.33	3.48	3.85	0.113				N	2	2	0	large waves, shorebreak, debris in water, sunny				
yes	yes	yes	no	no	104	Makena/Wailea	NMS	DC	DB	BS	MAN	MAN231018		Ahihi North	2023-10-18	8:36	4	2	6	4	8					MAN231018	26.2	35.7	6.84	102.3	8.06	1.71	2.02	1.94	1.89	0.085				N	0	2	0	high water line, large swell, sunny				
yes	yes	yes	no	no	104	Makena/Wailea	NMS	DC	DB	BS	MAS	MAS231018		Ahihi South	2023-10-18	8:52	4	2	6	4	8					MAS231018	26.2	35.7	6.71	100.6	8.09	2.81	2.95	3.45	3.07	0.110				N	1	3	0	rough shorebreak, sunny, 4th Turb: 3.45				
yes	yes	yes	no	no	105	Makena/Wailea	NMS	LY_CK	DC	DB_JD	KCP	KCP231108		Cove Park	2023-11-08	8:03	3	5	5	3	7					KCP231108	26.3	32.9	6.08	89.5	8.09	4.73	3.87	4.03	4.21	0.109				N	0	0	3	turb pre-samples reading high - spare cell used in field to compensate at correct range, 4th Turb 4.73				
yes	yes	yes	no	no	105	Makena/Wailea	NMS	LY_CK	DC	DB_JD	MMB	MMB231108		S Maluaka Beach	2023-11-08	8:50	3	5	5	3	7					MMB231108	26.4	35.3	6.45	96.8	8.14	0.52	0.59	0.50	0.54	0.088				N	2	5	0	calm water, sunny, no wind				
yes	yes	yes	no	no	105	Makena/Wailea	NMS	LY_CK	DC	DB_JD	MAN	MAN231108		Ahihi North	2023-11-08	9:05	3	5	5	3	7					MAN231108	26.2	35.3	7.30	109.4	8.08	1.95	2.11	1.89	1.98	0.057				N	7	2	0	4th Turb 1.89				
yes	yes	yes	no	no	105	Makena/Wailea	NMS	LY_CK	DC	DB_JD	MAS	MAS231108		Ahihi South	2023-11-08	9:32	3	5	5	3	7					MAS231108	26.3	35.7	6.59	99.2	8.12	0.95	0.83	1.08	0.95	0.131				N	5	9	0	incomming tide at med height, sunny, light breeze, 4th Turb 1.08				
yes	yes	yes	no	no	106	Makena/Wailea	NMS	CK	JD	BS_DB	KCP	KCP231129		Cove Park	2023-11-29	8:00	4	2	6	4	8					KCP231129	25.9	35.5	6.37	95.2	8.01	2.02	2.08	1.89	2.00	0.049				Y	0	0	2	Rained this morning / last night, cloudy, stream flowing, no swell, no wind, 4th turbidity reading 2.02.				
yes	yes	yes	no	no	106	Makena/Wailea	NMS	CK	JD	BS_DB	MMB	MMB231129		S Maluaka Beach	2023-11-29	8:40	4	2	6	4	8					MMB231129	25.5	35.9	6.57	98.1	8.09	0.59	0.63	0.63	0.62	0.037				N	0	0	0	Rained this morning / last night, cloudy, calm ocean, high tide, low breeze, 100% cloud cover, drizzling with recent rain evident. 				
yes	yes	yes	no	no	106	Makena/Wailea	NMS	CK	JD	BS_DB	MAN	MAN231129		Ahihi North	2023-11-29	8:58	4	2	6	4	8					MAN231129	25.7	35.7	5.86	87.3	7.95	1.31	1.18	1.26	1.25	0.052				N	3	1	0	Rained this morning / last night, cloudy, 100% cloud cover, high tide, recent rain evident, not raining currently. 2nd bucket sample: 9:40am, 25.6°C, 35.7ppt, 6.11mg/L, 90.3%, 7.96pH. In lab, verified the pH probe. pH 10.00 stnd: 9.99pH. pH 7.00 stnd: 6.97.				
yes	yes	yes	no	no	106	Makena/Wailea	NMS	CK	JD	BS_DB	MAS	MAS231129		Ahihi South	2023-11-29	9:20	4	2	6	4	8					MAS231129	25.6	35.9	6.00	92.7	8.04	0.52	0.43	0.47	0.47	0.095				N	0	2	0	Rained this morning / last night, cloudy, 100% cloud cover, high tide, recent rain evident, drizzling. 				
yes	yes	yes	no	no	107	Makena/Wailea	NMS	LY	BS	DB_DC	KCP	KCP231220		Cove Park	2023-12-20	8:16	3	5	5	3	7					KCP231220	24.9	34.0	6.39	92.7	8.09	9.37	9.11	9.10	9.19	0.017				N	10	6	0	mostly cloudy, no wind, 4th turb=15.7, 5th turb=15.7, 6th turb=9.37, 7th turb=9.10, 8th turb=9.11, 9th turb=8.56, small surf, second temp reading: salinity=24.9, DO=24.6				
yes	yes	yes	no	no	107	Makena/Wailea	NMS	LY	BS	DB_DC	MMB	MMB231220		S Maluaka Beach	2023-12-20	8:55	3	5	5	3	7					MMB231220	24.9	35.9	6.70	98.3	8.17	1.58	1.41	1.34	1.44	0.086				N	0	2	0	small shore break, meter #3 struggling to turn on				
yes	yes	yes	no	no	107	Makena/Wailea	NMS	LY	BS	DB_DC	MAN	MAN231220		Ahihi North	2023-12-20	9:21	3	5	5	3	7					MAN231220	25.0	36.0	6.73	99.0	8.08	0.99	1.00	1.03	1.01	0.021				N	0	4	0	a little swell coming in, grey clouds to north, partly cloudy to south, light on shore winds, 4th turb=0.99				
yes	yes	yes	no	no	107	Makena/Wailea	NMS	LY	BS	DB_DC	MAS	MAS231220		Ahihi South	2023-12-20	9:40	3	5	5	3	7					MAS231220	24.9	36.0	6.63	97.5	8.11	1.05	1.10	1.05	1.07	0.027				N	2	6	0	breeze has picked up, some white caps & choppy, tide high, very small shore break, 4th turb=1.37, 5th turb=1.05				
