Downloaded for distribution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	2017-03-17	12:00											deg C	ppt	mg/L	%							MPN	0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
		Nut_Sample	Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	40D/HQ2200#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb3	Average Turbidity	CV Turbidity	Enterococcus (CFU) 	Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments
yes	yes	yes	no	no	81	North Kihei	NMS	AW	LY	YS	NMH	NMH220602		Maalaea Harbor	2022-06-02	7:57	1	1	5	1	3					NMH220602	25.3	34.8	6.28	92.9	8.11	3.26	3.38	3.28	3.31	0.019				N	0	0	0	Clear blue skies, sunny, south swell, parking lot wet due to swell, boat with people getting on near site.
yes	yes	yes	no	no	81	North Kihei	NMS	AW	LY	YS	NMC	NMC220602		Maalaea Condos	2022-06-02	8:19	1	1	5	1	3					NMC220602	25.3	34.0	7.01	103.5	8.2	2.65	2.43	2.40	2.49	0.055				N	0	2	0	south swell, very rocky entry, low tide, water looks brown green
yes	yes	yes	no	no	81	North Kihei	NMS	AW	LY	YS	NHP	NHP220602		Haycraft Park	2022-06-02	8:44	1	1	5	1	3					NHP220602	25.2	35.0	6.69	99.2	8.16	11.90	11.8	11.50	11.73	0.018				N	0	7	1	Big waves crashing, rocks rolling, surfers in water more than 100ft from site, families playing on beach, light wind, water looks brown green
yes	yes	yes	no	no	81	North Kihei	NMS	AW	LY	YS	NKP	NKP220602		Kealia Pond	2022-06-02	9:09	1	1	5	1	3					NKP220602	25.5	35.2	6.66	99.3	8.15	1.99	2.06	2.26	2.10	0.067				N	0	0	0	water is calmer than the other two sites, one person walking by
yes	yes	yes	no	no	81	North Kihei	NMS	AW	LY	YS	NKC	NKC220602		Kihei Canoe Club	2022-06-02	9:25	1	1	5	1	3					NKC220602	26.2	34.7	6.64	99.9	8.09	33.50	36.7	36.20	35.47	0.049				N	0	0	0	water is brown, mild swell, canoe club meeting on grass (large group) took 5th NTU reading 32.1
yes	yes	yes	no	no	82	North Kihei	NMS	AW	FB	AH	NMH	NMH220623		Maalaea Harbor	2022-06-23	7:55	2	2	4	2	2					NMH220623	25.0	35.0	6.13	90.6	8.17	2.31	2.45	2.18	2.31	0.058				N	0	0	0	Lots of tour boats, windy
yes	yes	yes	no	no	82	North Kihei	NMS	AW	FB	AH	NMC	NMC220623		Maalaea Condos	2022-06-23	8:25	2	2	4	2	2					NMC220623	25.0	33.4	6.81	99.7	8.19	3.22	3.26	3.12	3.20	0.023				N	0	0	0	rough, windy higher surf than usual, Brown water past the shoreline
yes	yes	yes	no	no	82	North Kihei	NMS	AW	FB	AH	NHP	NHP220623		Haycraft Park	2022-06-23	8:39	2	2	4	2	2					NHP220623	25.6	35.2	6.58	98.1	8.19	14.60	14.5	14.40	14.50	0.007				N	6	0	1	Diver flag near ssample site, Sandy shorebreak
yes	yes	yes	no	no	82	North Kihei	NMS	AW	FB	AH	NKP	NKP220623		Kealia Pond	2022-06-23	8:58	2	2	4	2	2					NKP220623	25.4	35.7	6.46	96.4	8.2	2.41	2.08	2.23	2.24	0.074				N	0	0	0	
yes	yes	yes	no	no	82	North Kihei	NMS	AW	FB	AH	NKC	NKC220623		Kihei Canoe Club	2022-06-23	9:13	2	2	4	2	2					NKC220623	26.0	35.1	6.49	97.7	8.16	63.20	69.6	71.90	68.23	0.066				N	0	0	0	Water looks brown, canoe club meeting on grassy area, particles in turbitity sample
yes	yes	yes	no	no	83	North Kihei	NMS	FB	YS	LY	NMH	NMH220714		Maalaea Harbor	2022-07-14	7:55	1	2	5	1	3					NMH220714	25.3	34.7	6.15	91.1	8.13	5.09	5.55	5.41	5.35	0.044				N	0	0	0	south swell, windy, snorkel boat loading~10 m away from sample site
yes	yes	yes	no	no	83	North Kihei	NMS	FB	YS	LY	NMC	NMC220714		Maalaea Condos	2022-07-14	8:16	1	2	5	1	3					NMC220714	25.7	34.3	7.01	104.4	8.2	6.58	5.93	6.90	6.47	0.076				N	0	1	0	High surf, High winds, stream flowing but not reaching the sand or ocean, very light flow, Stream may have connected night before
yes	yes	yes	no	no	83	North Kihei	NMS	FB	YS	LY	NHP	NHP220714		Haycraft Park	2022-07-14	8:33	1	2	5	1	3					NHP220714	25.6	34.9	6.71	100.0	8.16	12.60	12.1	10.80	11.83	0.079				N	0	11	0	South swell with 3' shorebreak, water slightly brown, surfers out, difficult to collect sample.
yes	yes	yes	no	no	83	North Kihei	NMS	FB	YS	LY	NKP	NKP220714		Kealia Pond	2022-07-14	9:00	1	2	5	1	3					NKP220714	26.0	35.4	6.55	98.4	8.17	3.43	3.51	4.02	3.65	0.088				N	0	0	0	much smaller shore break did a 4th reading 4.21
yes	yes	yes	no	no	83	North Kihei	NMS	FB	YS	LY	NKC	NKC220714		Kihei Canoe Club	2022-07-14	9:18	1	2	5	1	3					NKC220714	26.6	34.7	6.59	99.6	8.11	28.50	33.1	31.70	31.10	0.076				N	0	46	0	Very brown water ~4m out into the ocean. Shorebreak. Youth canoe club on beach. 4th NTU reading 37.3
yes	yes	yes	no	no	84	North Kihei	NMS	FB	AW	AH	NMH	NMH220804		Maalaea Harbor	2022-08-04	7:38	2	2	4	2	2					NMH220804	25.6	35.1	5.90	88.3	8.15	1.13	1.16	0.98	1.09	0.088				N	0	0	0	Tour boat departing during collection
yes	yes	yes	no	no	84	North Kihei	NMS	FB	AW	AH	NMC	NMC220804		Maalaea Condos	2022-08-04	8:12	2	2	4	2	2					NMC220804	26.0	34.5	6.38	95.7	8.08	2.23	2.39	2.23	2.28	0.040				N	0	0	0	
yes	yes	yes	no	no	84	North Kihei	NMS	FB	AW	AH	NHP	NHP220804		Haycraft Park	2022-08-04	8:30	2	2	4	2	2					NHP220804	25.9	35.3	6.38	96.0	8.14	11.10	11.4	11.30	11.27	0.014				N	0	3	0	Calm ocean, brownish water
yes	yes	yes	no	no	84	North Kihei	NMS	FB	AW	AH	NKP	NKP220804		Kealia Pond	2022-08-04	8:47	2	2	4	2	2					NKP220804	26.0	35.9	6.42	97.2	8.18	1.42	1.46	1.57	1.48	0.052				N	0	1	0	Water looks clear, waves 1.5 feet
yes	yes	yes	no	no	84	North Kihei	NMS	FB	AW	AH	NKC	NKC220804		Kihei Canoe Club	2022-08-04	9:03	2	2	4	2	2					NKC220804	26.8	35.5	6.37	97.4	8.17	12.20	14	15.00	13.73	0.103				N	0	6	0	Shorebreak waves 2-3 feet, brown shore break, 4th turbidity reading
yes	yes	yes	no	no	85	North Kihei	NMS	FB	AW	AH	NMH	NMH220825		Maalaea Harbor	2022-08-25	7:47	1	1	5	1	3					NMH220825	26.3	35.1	6.00	90.8	8.12	1.41	1.22	1.02	1.22	0.160				N	0	0	0	Nice day
yes	yes	yes	no	no	85	North Kihei	NMS	FB	AW	AH	NMC	NMC220825		Maalaea Condos	2022-08-25	8:05	1	1	5	1	3					NMC220825	26.7	34.3	6.80	103.0	8.14	1.25	1.1	1.19	1.18	0.064				N	0	0	0	water slightly brown
yes	yes	yes	no	no	85	North Kihei	NMS	FB	AW	AH	NHP	NHP220825		Haycraft Park	2022-08-25	8:25	1	1	5	1	3					NHP220825	26.6	34.7	6.51	98.8	8.11	12.00	11.9	11.60	11.83	0.018				N	0	3	0	*Standards were not written from the day before, were wrote down after end of sample day.
yes	yes	yes	no	no	85	North Kihei	NMS	FB	AW	AH	NKP	NKP220825		Kealia Pond	2022-08-25	8:45	1	1	5	1	3					NKP220825	26.8	35.5	6.50	99.2	8.17	1.58	1.69	1.83	1.70	0.074				N	0	2	0	
yes	yes	yes	no	no	85	North Kihei	NMS	FB	AW	AH	NKC	NKC220825		Kihei Canoe Club	2022-08-25	9:04	1	1	5	1	3					NKC220825	27.8	34.8	6.42	99.5	8.12	7.76	7.4	7.60	7.59	0.024				N	0	0	0	
yes	yes	yes	no	no	86	North Kihei	NMS	FB	MS	AH	NMH	NMH220915		Maalaea Harbor	2022-09-15	8:02	2	2	4	2	2					NMH220915	26.5	35.5	5.92	90.1	8.14	1.19	1.18	1.21	1.19	0.013				N	0	0	0	high tide, tour boat leaves dock right before collection at site
yes	yes	yes	no	no	86	North Kihei	NMS	FB	MS	AH	NMC	NMC220915		Maalaea Condos	2022-09-15	8:10	2	2	4	2	2					NMC220915	26.7	35.2	6.33	96.4	8.1	4.89	4.81	4.78	4.83	0.012				N	0	0	0	high tide, browish waves, small amount fresh water in ditch from rain two days ago
yes	yes	yes	no	no	86	North Kihei	NMS	FB	MS	AH	NHP	NHP220915		Haycraft Park	2022-09-15	8:30	2	2	4	2	2					NHP220915	26.6	35.4	6.30	96.0	8.13	12.50	11.7	11.50	11.90	0.044				N	0	4	0	high tide, gentle shore break & brownish waves
yes	yes	yes	no	no	86	North Kihei	NMS	FB	MS	AH	NKP	NKP220915		Kealia Pond	2022-09-15	9:00	2	2	4	2	2					NKP220915	26.9	36.1	6.40	98.2	8.18	2.77	2.85	2.86	2.83	0.017				N	0	2	0	high tide, calm shore break with sediment in waves
yes	yes	yes	no	no	86	North Kihei	NMS	FB	MS	AH	NKC	NKC220915		Kihei Canoe Club	2022-09-15	9:20	2	2	4	2	2					NKC220915	27.3	35.6	6.32	97.4	8.16	20.50	20.9	22.80	21.40	0.057				N	0	25	0	high tide, shore erosion visible with sand inwaves - 5 turb readings all high - canoe club members on beach
yes	yes	yes	no	no	87	North Kihei	NMS	FB	AW	AH	NMH	NMH221006		Maalaea Harbor	2022-10-06	7:50	1	1	5	1	3					NMH221006	25.5	35.0	6.11	91.1	8.15	2.85	2.18	2.03	2.35	0.186				N	0	0	0	no clear bottles for turbidity samples. Used water from bucket swirled and rised sample vile
yes	yes	yes	no	no	87	North Kihei	NMS	FB	AW	AH	NMC	NMC221006		Maalaea Condos	2022-10-06	8:40	1	1	5	1	3					NMC221006	26.4	34.5	6.94	104.9	8.17	1.56	1.78	1.60	1.65	0.071				N	0	4	0	Clear bottles were delivered
yes	yes	yes	no	no	87	North Kihei	NMS	FB	AW	AH	NHP	NHP221006		Haycraft Park	2022-10-06	8:50	1	1	5	1	3					NHP221006	26.3	35.1	6.73	102.1	8.16	5.48	5.56	5.68	5.57	0.018				N	10	4	10	
yes	yes	yes	no	no	87	North Kihei	NMS	FB	AW	AH	NKP	NKP221006		Kealia Pond	2022-10-06	9:10	1	1	5	1	3					NKP221006	26.6	35.7	6.49	99.2	8.19	0.69	0.8	0.73	0.74	0.075				N	1	1	2	
yes	yes	yes	no	no	87	North Kihei	NMS	FB	AW	AH	NKC	NKC221006		Kihei Canoe Club	2022-10-06	9:23	1	1	5	1	3					NKC221006	27.0	35.1	6.41	98.4	8.15	11.00	11.2	10.60	10.93	0.028				N	0	2	0	
yes	yes	yes	no	no	88	North Kihei	NMS	FB	AW	YMS	NMH	NMH221027		Maalaea Harbor	2022-10-27	7:42	2	2	4	2	2					NMH221027	25.9	35.1	5.65	84.9	8.06	0.82	0.75	0.78	0.78	0.045				N	0	0	0	windy, cool, high tide was at 0544, people loading in boats
yes	yes	yes	no	no	88	North Kihei	NMS	FB	AW	YMS	NMC	NMC221027		Maalaea Condos	2022-10-27	8:03	2	2	4	2	2					NMC221027	25.9	35.0	6.46	96.9	8.02	3.82	3.39	3.49	3.57	0.063				N	0	0	0	calmer winds
yes	yes	yes	no	no	88	North Kihei	NMS	FB	AW	YMS	NHP	NHP221027		Haycraft Park	2022-10-27	8:19	2	2	4	2	2					NHP221027	26.3	35.1	6.17	93.1	8.06	9.89	9.77	10.40	10.02	0.033				N	0	0	0	people walking by as sample was being taken
yes	yes	yes	no	no	88	North Kihei	NMS	FB	AW	YMS	NKP	NKP221027		Kealia Pond	2022-10-27	8:39	2	2	4	2	2					NKP221027	26.5	35.6	6.34	96.4	8.11	0.83	0.72	0.74	0.76	0.077				N	1	0	0	dive flag in water assuming one diver may be near by
yes	yes	yes	no	no	88	North Kihei	NMS	FB	AW	YMS	NKC	NKC221027		Kihei Canoe Club	2022-10-27	8:53	2	2	4	2	2					NKC221027	27.2	35.2	6.19	94.9	8.08	1.33	1.29	1.30	1.31	0.016				N	0	0	0	calm waves light winds
yes	yes	yes	no	no	89	North Kihei	NMS	FB	AW	AH	NMH	NMH221117		Maalaea Harbor	2022-11-17	7:45	1	1	5	1	3					NMH221117	25.4	34.8	5.85	86.7	8.12	1.74	1.84	1.66	1.75	0.052				N	0	0	0	Did Turbidity verification twice on the low sample with exact results. Issue with Turbidity blank, team forgot to read blank, redid first turbidity points at Harbor, blank would not reacd below 0.17, did all troubleshooting.
yes	yes	yes	no	no	89	North Kihei	NMS	FB	AW	AH	NMC	NMC221117		Maalaea Condos	2022-11-17	8:19	1	1	5	1	3					NMC221117	25.5	34.0	6.60	97.5	8.03	3.11	3.05	2.96	3.04	0.025				N	0	0	0	Churned up with shorebreak Algae in bucket
yes	yes	yes	no	no	89	North Kihei	NMS	FB	AW	AH	NHP	NHP221117		Haycraft Park	2022-11-17	8:33	1	1	5	1	3					NHP221117	25.8	35.0	6.42	95.9	8.13	5.22	5.62	5.34	5.39	0.038				N	0	1	0	
yes	yes	yes	no	no	89	North Kihei	NMS	FB	AW	AH	NKP	NKP221117		Kealia Pond	2022-11-17	8:55	1	1	5	1	3					NKP221117	26.3	35.5	6.54	98.7	8.18	1.33	1.21	1.26	1.27	0.048				N	0	0	0	
yes	yes	yes	no	no	89	North Kihei	NMS	FB	AW	AH	NKC	NKC221117		Kihei Canoe Club	2022-11-17	9:14	1	1	5	1	3					NKC221117	26.2	35.1	6.49	97.9	8.17	4.15	3.83	4.15	4.04	0.046				N	0	6	0	
yes	yes	yes	no	no	90	North Kihei	NMS	FB	AW	YMS	NMH	NMH221208		Maalaea Harbor	2022-12-08	7:45	2	2	4	2	2					NMH221208	24.8	35.3	6.23	91.3	8.08	3.97	4.34	3.81	4.04	0.067				N	0	0	0	 very windy, 5 turb readings
yes	yes	yes	no	no	90	North Kihei	NMS	FB	AW	YMS	NMC	NMC221208		Maalaea Condos	2022-12-08	8:03	2	2	4	2	2					NMC221208	24.2	34.9	6.59	95.4	8.03	9.43	8.5	9.84	9.26	0.074				N	0	0	0	windy, calm water, cool air temp, tide receding, 5 turb readings
yes	yes	yes	no	no	90	North Kihei	NMS	FB	AW	YMS	NHP	NHP221208		Haycraft Park	2022-12-08	8:23	2	2	4	2	2					NHP221208	24.6	35.0	6.49	94.9	8.1	59.70	60	59.70	59.80	0.003				N	0	0	0	peo walking by on beach, calm water, sample looks brown w/particles, 5 turb readings
yes	yes	yes	no	no	90	North Kihei	NMS	FB	AW	YMS	NKP	NKP221208		Kealia Pond	2022-12-08	8:44	2	2	4	2	2					NKP221208	24.8	35.7	6.69	98.6	8.14	1.47	1.46	1.86	1.60	0.143				N	0	0	0	windy, small swell, water looks brownish/green, swamp smell, peo walking by, 4 turb readings
yes	yes	yes	no	no	90	North Kihei	NMS	FB	AW	YMS	NKC	NKC221208		Kihei Canoe Club	2022-12-08	9:04	2	2	4	2	2					NKC221208	26.2	35.1	6.45	96.7	8.11	10.50	9.42	11.10	10.34	0.082				N	0	0	0	calm wind, water appears flat & cleaner, sand in turb sample, 5 turb readings, peo walking by
yes	yes	yes	no	no	91	North Kihei	NMS	FB	AH	YMS	NMH	NMH230105		Maalaea Harbor	2023-01-05	7:54	1	5	5	1	1					NMH230105	24.6	34.9	6.40	93.7	8.15	0.93	0.92	0.91	0.92	0.011				N	0	0	0	Calm harbor, no wind.
yes	yes	yes	no	no	91	North Kihei	NMS	FB	AH	YMS	NMC	NMC230105		Maalaea Condos	2023-01-05	8:13	1	5	5	1	1					NMC230105	24.6	34.2	6.58	96.4	8.06	4.24	4.3	4.23	4.26	0.009				N	0	3	0	Calm water, tide receding. Particles in sample water.
yes	yes	yes	no	no	91	North Kihei	NMS	FB	AH	YMS	NHP	NHP230105		Haycraft Park	2023-01-05	8:35	1	5	5	1	1					NHP230105	24.8	34.8	6.73	98.7	8.14	7.61	7.74	7.60	7.65	0.010				N	2	1	0	1 person walking by; water calm, light wind. 
yes	yes	yes	no	no	91	North Kihei	NMS	FB	AH	YMS	NKP	NKP230105		Kealia Pond	2023-01-05	8:59	1	5	5	1	1					NKP230105	24.7	35.3	6.86	100.8	8.19	0.68	0.77	0.82	0.76	0.094				N	0	5	0	Swell is small, no wind. 
yes	yes	yes	no	no	91	North Kihei	NMS	FB	AH	YMS	NKC	NKC230105		Kihei Canoe Club	2023-01-05	9:17	1	5	5	1	1					NKC230105	25.4	34.2	6.57	97.2	8.11	35.40	36.2	34.20	35.27	0.029				N	0	0	0	Water is brown, calm water. Sample water brown. 
yes	yes	yes	no	no	92	North Kihei	NMS	LY	AH	AF_DC	NMH	NMH230126		Maalaea Harbor	2023-01-26	7:50	2	2	4	2	2					NMH230126	24.1	24.0	6.67	90.5	8.17	1.70	1.44	1.43	1.52	0.100				N	0	0	0	 Raining at collection site, 4th turb reading 1.44
yes	yes	yes	no	no	92	North Kihei	NMS	LY	AH	AF_DC	NMC	NMC230126		Maalaea Condos	2023-01-26	8:15	2	2	4	2	2					NMC230126	24.0	29.7	6.32	89.0	8.07	4.36	4.6	4.35	4.44	0.032				Y	0	3	0	Light rain at site, 2nd reading salinity
yes	yes	yes	no	no	92	North Kihei	NMS	LY	AH	AF_DC	NHP	NHP230126		Haycraft Park	2023-01-26	8:41	2	2	4	2	2					NHP230126	24.3	30.0	6.60	93.4	8.14	14.40	13.3	13.80	13.83	0.040				N	0	0	0	Heavy rain at collection site
yes	yes	yes	no	no	92	North Kihei	NMS	LY	AH	AF_DC	NKP	NKP230126		Kealia Pond	2023-01-26	9:06	2	2	4	2	2					NKP230126	24.4	30.9	7.00	99.9	8.19	2.87	2.79	2.58	2.75	0.055				N	0	0	0	
yes	yes	yes	no	no	92	North Kihei	NMS	LY	AH	AF_DC	NKC	NKC230126		Kihei Canoe Club	2023-01-26	9:25	2	2	4	2	2					NKC230126	25.4	30.2	6.70	96.5	8.12	52.10	57.9	59.90	56.63	0.072				N	0	2	0	
yes	yes	yes	no	no	93	North Kihei	NMS	AH	AW	CK	NMH	NMH230216		Maalaea Harbor	2023-02-16	7:48	HQ2200 - 3	5	5	3	1					NMH230216	23.9	34.7			8.14	1.04	1.02	0.94	1.00	0.053				N	0	0	0	calm waters, overcast sky, no wind
yes	yes	yes	no	no	93	North Kihei	NMS	AH	AW	CK	NMC	NMC230216		Maalaea Condos	2023-02-16	8:13	HQ2200 - 3	5	5	3	1					NMC230216	23.8	33.2			8.00	0.66	0.69	0.75	0.70	0.065				N	0	2	0	calm waters, light rain early am, sewage smell near site
yes	yes	yes	no	no	93	North Kihei	NMS	AH	AW	CK	NHP	NHP230216		Haycraft Park	2023-02-16	8:33	HQ2200 - 3	5	5	3	1					NHP230216	24.2	34.0			8.15	9.24	9.62	9.34	9.40	0.021				N	0	0	0	calm water, overcast sky, no wind
yes	yes	yes	no	no	93	North Kihei	NMS	AH	AW	CK	NKP	NKP230216		Kealia Pond	2023-02-16	9:00	HQ2200 - 3	5	5	3	1					NKP230216	24.2	35.2			8.17	1.56	2.12	1.84	1.84	0.152				N	0	2	0	calm ocean, overcast sky, no wind
yes	yes	yes	no	no	93	North Kihei	NMS	AH	AW	CK	NKC	NKC230216		Kihei Canoe Club	2023-02-16	9:23	HQ2200 - 3 	5	5	3	1					NKC230216	24.7	34.3			8.12	23.10	24.6	21.20	22.97	0.074				N	0	0	0	calm ocean, overcast sky, no wind - 4th turb reading
yes	yes	yes	no	no	94	North Kihei	NMS	AW	DC	CK	NMH	NMH230309		Maalaea Harbor	2023-03-09	7:45	HQ2200 - 4	2	4	2	2					NMH230309	23.5	35.2	6.27	90.0	8.16	4.05	3.48	3.36	3.63	0.102				N	0	0	0	SEWAGE SMELL
yes	yes	yes	no	no	94	North Kihei	NMS	AW	DC	CK	NMC	NMC230309		Maalaea Condos	2023-03-09	8:02	HQ2200 - 4	2	4	2	2					NMC230309	23.4	34.2	6.95	99.3	8.12	5.70	5.29	5.81	5.60	0.049				N	0	0	0	
yes	yes	yes	no	no	94	North Kihei	NMS	AW	DC	CK	NHP	NHP230309		Haycraft Park	2023-03-09	8:27	HQ2200 - 4	2	4	2	2					NHP230309	23.1	34.2	6.86	97.5	8.1	48.40	46.7	47.20	47.43	0.018				N	0	1	0	BROWN WATER
yes	yes	yes	no	no	94	North Kihei	NMS	AW	DC	CK	NKP	NKP230309		Kealia Pond	2023-03-09	8:45	HQ2200 - 4	2	4	2	2					NKP230309	23.3	35.0	6.99	100.0	8.16	6.18	5.81	5.45	5.81	0.063				N	0	2	0	WAVE ACTION SOUTHERN WINDS GUSTING
yes	yes	yes	no	no	94	North Kihei	NMS	AW	DC	CK	NKC	NKC230309		Kihei Canoe Club	2023-03-09	8:58	HQ2200 - 4	2	4	2	2					NKC230309	23.5	35.1	6.96	100.0	8.17	10.60	10.6	10.40	10.53	0.011				N	0	5	0	BIG WAVES, LOTS OF DEBRIS ON BEACH, RECENT RAIN
yes	yes	yes	no	no	95	North Kihei	NMS	LY	YSL	CK	NMH	NMH230330		Maalaea Harbor	2023-03-30	7:50	3	4	5	1	3					NMH230330	25.0	34.9	6.44	94.4	8.1	2.61	2.11	2.36	2.36	0.106				N	0	0	0	calm water, light wind, 4th turb 2.14 & 5th turb 1.94
yes	yes	yes	no	no	95	North Kihei	NMS	LY	YSL	CK	NMC	NMC230330		Maalaea Condos	2023-03-30	8:45	3	4	5	1	3					NMC230330	25.1	34.1	7.26	106.2	8.14	10.60	10.5	10.30	10.47	0.015				N	0	0	0	 normal path blocked due to construction - came back later to sample 2nd Do & 4th turb readings
yes	yes	yes	no	no	95	North Kihei	NMS	LY	YSL	CK	NHP	NHP230330		Haycraft Park	2023-03-30	8:25	3	4	5	1	3					NHP230330	25.0	34.9	6.88	101.0	8.12	16.70	17	16.10	16.60	0.028				N	0	2	0	brown water, some swell, fish pole & dog on beach - 4th turb 17.8 & 5th turb 15.1
yes	yes	yes	no	no	95	North Kihei	NMS	LY	YSL	CK	NKP	NKP230330		Kealia Pond	2023-03-30	9:15	3	4	5	1	3					NKP230330	25.5	35.6	6.87	101.9	8.14	2.74	3.06	3.13	2.98	0.070				N	0	10	0	shorebreak with waves, sand in samples, took 2nd sample - 4th & 5th turb 3.72
yes	yes	yes	no	no	95	North Kihei	NMS	LY	YSL	CK	NKC	NKC230330		Kihei Canoe Club	2023-03-30	9:38	3	4	5	1	3					NKC230330	26.2	34.7	6.78	101.5	8.09	29.50	28.9	28.80	29.07	0.013				N	0	0	0	brown water, sand beach replenishment was last week
yes	yes	yes	no	no	96	North Kihei	NMS	AW	DC	MS	NMH	NMH230420		Maalaea Harbor	2023-04-20	7:47	4	2	4	2	Refractometer					NMH230420	25.3	33.5	5.92	87.6	8.11	2.80	3.03	2.79	2.87	0.047				N	0	0	0	harbor water looks clear at site
yes	yes	yes	no	no	96	North Kihei	NMS	AW	DC	MS	NMC	NMC230420		Maalaea Condos	2023-04-20	8:20	4	2	4	2	Refractometer			DO Probe set at 35ppt and		NMC230420	25.5	32.0	7.51	111.8	8.14	7.81	6.44	6.54	6.93	0.110				N	2	0	0	rainstorm yesterday, puddles in gully, receeding tide, cloudy, 4th Turb 6.54
yes	yes	yes	no	no	96	North Kihei	NMS	AW	DC	MS	NHP	NHP230420		Haycraft Park	2023-04-20	8:41	4	2	4	2	Refractometer			used for C. temp, % oxygen, & mg/L		NHP230420	25.7	32.0	6.58	98.3	8.13	11.70	11.1	11.60	11.47	0.028				N	2	2	0	receeding tide w/sand suspended at collection site & small shorebreak
yes	yes	yes	no	no	96	North Kihei	NMS	AW	DC	MS	NKP	NKP230420		Kealia Pond	2023-04-20	9:00	4	2	4	2	Refractometer					NKP230420	25.9	33.0	6.71	104.0	8.12	15.30	15.1	16.60	15.67	0.052				N	0	0	0	receeding tide, brown water w/ suspended sediment, surge debris at high tide line
yes	yes	yes	no	no	96	North Kihei	NMS	AW	DC	MS	NKC	NKC230420		Kihei Canoe Club	2023-04-20	9:30	4	2	4	2	Refractometer					NKC230420	26.1	31.0	6.70	100.6	8.08	31.30	29.2	31.10	30.53	0.038				N	0	0	0	receeding tide, very brown water w/ sediment suspended, sunny, lite breeze
yes	yes	yes	no	no	97	North Kihei	NMS	AW	CK	YS	NMH	NMH230511		Maalaea Harbor	2023-05-11	7:45	3	5	5	1	Refractometer					NMH230511	24.9	35.0	6.46	94.6	8.16	2.91	2.61	2.38	2.63	0.101				N	0	0	0	2-3 ft swell, waves going over wall; harbor is calm, not a lot of people. Little to no wind. Sunny
yes	yes	yes	no	no	97	North Kihei	NMS	AW	CK	YS	NMC	NMC230511		Maalaea Condos	2023-05-11	8:05	3	5	5	1	Refractometer					NMC230511	25.2	34.0	7.41	109.3	8.19	3.11	2.56	2.55	2.74	0.117				N	0	0	0	Turbidity 3rd = 4.40, 4th = 2.55, & 5th = 3.46. Wave action. A lof of algae at sample site (green brown). Bubbles coming from algae. Read DO 2x (1st reading was 7.43 mg/L & 109.4%)
yes	yes	yes	no	no	97	North Kihei	NMS	AW	CK	YS	NHP	NHP230511		Haycraft Park	2023-05-11	8:28	3	5	5	1	Refractometer					NHP230511	25.5	36.0	6.83	101.1	8.18	4.88	4.59	4.77	4.75	0.031				N	0	4	0	Water looks cleaner, some algae, wave action.
yes	yes	yes	no	no	97	North Kihei	NMS	AW	CK	YS	NKP	NKP230511		Kealia Pond	2023-05-11	8:56	3	5	5	1	Refractometer					NKP230511	25.6	36.0	6.75	100.0	8.18	1.53	1.68	1.81	1.67	0.084				N	0	5	0	More wave action; sand in turbidity sample
yes	yes	yes	no	no	97	North Kihei	NMS	AW	CK	YS	NKC	NKC230511		Kihei Canoe Club	2023-05-11	9:05	3	5	5	1	Refractometer					NKC230511	26.2	35.0	6.66	99.7	8.1	35.80	36.8	37.80	36.80	0.027				N	0	0	0	Water brown. Particles in sample. Turbidity 3rd = 31.4, 4th = 42.3, 5th = 43.7, 6th = 35.8 
yes	yes	yes	no	no	98	North Kihei	YK	AW	YMS	LY	NMH	NMH230608		Maalaea Harbor	2023-06-08	7:50	4	2	6	2	4					NMH230608	25.1	34.8	6.32	92.9	8.13	2.18	2.58	2.49	2.42	0.087				N	0	0	0	lost bucket, took 4th and 5th NTU reading,
yes	yes	yes	no	no	98	North Kihei	YK	AW	YMS	LY	NMC	NMC230608		Maalaea Condos	2023-06-08	8:17	4	2	6	2	4					NMC230608	25.2	34.0	7.25	106.9	8.13	2.59	2.87	2.56	2.67	0.064				N	0	0	0	1ft swell, sunny, algae growing on rocks DO high.
yes	yes	yes	no	no	98	North Kihei	YK	AW	YMS	LY	NHP	NHP230608		Haycraft Park	2023-06-08	8:40	4	2	6	2	4					NHP230608	25.2	35.4	6.71	98.8	8.16	3.72	3.44	3.30	3.49	0.061				N	4	12	6	Breezy, sunny, clear water,calm
yes	yes	yes	no	no	98	North Kihei	YK	AW	YMS	LY	NKP	NKP230608		Kealia Pond	2023-06-08	9:09	4	2	6	2	4					NKP230608	25.8	35.6	6.52	97.6	8.15	0.72	0.8	0.82	0.78	0.068				N	3	2	0	
